sentence1,sentence2,label
apa saja yang dinilai oleh supervisor perusahaan dan dosen penguji dalam sidang kp,apa aja yang dinilai oleh supervisor perusahaan dan dosen penguji dalam sidang kp,1
apa saja yang dinilai oleh supervisor perusahaan dan dosen penguji dalam sidang kp,mohon info saja dinilai oleh supervisor perusahaan dosen penguji,1
apa saja yang dinilai oleh supervisor perusahaan dan dosen penguji dalam sidang kp,apakah lulus sidang skripsi berarti langsung lulus studi,0
apa saja yang dinilai oleh supervisor perusahaan dan dosen penguji dalam sidang kp,bagaimana supervisor perusahaan mengisi nilai kp,0
bagaimana aturan berpakaian saat sidang kp,gimana aturan berpakaian saat sidang kp,1
bagaimana aturan berpakaian saat sidang kp,saya ingin tahu aturan berpakaian sidang kp,1
bagaimana aturan berpakaian saat sidang kp,mengapa kita tidak boleh mengunggah berkas sidang di tanggal terakhir pendaftaran,0
bagaimana aturan berpakaian saat sidang kp,apakah ada revisi laporan pasca sidang kp,0
apakah selama sidang kp saya boleh bertanya ke teman lewat chat,apakah benar selama sidang kp saya bisa bertanya ke teman lewat chat,1
apakah selama sidang kp saya boleh bertanya ke teman lewat chat,mohon info sidang kp bertanya teman lewat chat,1
apakah selama sidang kp saya boleh bertanya ke teman lewat chat,apa saja berkas yang harus diunggah di halaman persiapan kelulusan doffice untuk verifikasi di tingkat departemen,0
apakah selama sidang kp saya boleh bertanya ke teman lewat chat,kapan sidang kp dilaksanakan,0
saya sudah pernah mengambil seminar semester lalu tapi belum lulus apakah saya perlu mendaftar ulang di semester ini,saya sudah pernah mengambil seminar semester lalu tapi belum lulus apakah benar saya perlu mendaftar ulang di semester ini,1
saya sudah pernah mengambil seminar semester lalu tapi belum lulus apakah saya perlu mendaftar ulang di semester ini,tolong jelaskan pernah mengambil seminar semester lalu tapi belum,1
saya sudah pernah mengambil seminar semester lalu tapi belum lulus apakah saya perlu mendaftar ulang di semester ini,apa yang harus dilakukan jika gagal mengunggah berkas di doffice untuk yudisium,0
saya sudah pernah mengambil seminar semester lalu tapi belum lulus apakah saya perlu mendaftar ulang di semester ini,bolehkah sidang kp dilakukan secara online,0
berapa minimal entry bimbingan di doffice untuk bisa sidang seminar,berapa sih minimal entry bimbingan di doffice untuk bisa sidang seminar,1
berapa minimal entry bimbingan di doffice untuk bisa sidang seminar,saya ingin tahu minimal entry bimbingan doffice bisa sidang seminar,1
berapa minimal entry bimbingan di doffice untuk bisa sidang seminar,apa saja berkas pendukung yang harus dikumpulkan untuk ppt-1,0
berapa minimal entry bimbingan di doffice untuk bisa sidang seminar,bagaimana cara mengetahui jadwal sidang kp,0
apakah sidang seminar melibatkan dosen penguji selain pembimbing,apakah benar sidang seminar melibatkan dosen penguji selain pembimbing,1
apakah sidang seminar melibatkan dosen penguji selain pembimbing,saya ingin tahu sidang seminar melibatkan dosen penguji selain pembimbing,1
apakah sidang seminar melibatkan dosen penguji selain pembimbing,berapa jam per minggu dan berapa minggu kegiatan ppt-1 harus dilaksanakan,0
apakah sidang seminar melibatkan dosen penguji selain pembimbing,apa yang harus dilakukan jika email penilaian untuk supervisor masuk ke spam,0
setelah sidang skripsi bagaimana cara mendapatkan catatan revisi,setelah sidang skripsi gimana cara mendapatkan catatan revisi,1
setelah sidang skripsi bagaimana cara mendapatkan catatan revisi,saya ingin tahu setelah sidang skripsi cara mendapatkan catatan revisi,1
setelah sidang skripsi bagaimana cara mendapatkan catatan revisi,apa nilai minimal untuk pengakuan 1 sertifikat level associate di ppt-2,0
setelah sidang skripsi bagaimana cara mendapatkan catatan revisi,kapan pendaftaran tugas akhir mata kuliah spesial sebaiknya dilakukan,0
apakah lulus sidang skripsi berarti langsung lulus studi,apakah benar lulus sidang skripsi berarti langsung lulus studi,1
apakah lulus sidang skripsi berarti langsung lulus studi,tolong jelaskan lulus sidang skripsi berarti langsung lulus studi,1
apakah lulus sidang skripsi berarti langsung lulus studi,jika saya meraih juara 3 kompetisi tingkat nasional nilai apa yang akan saya peroleh untuk ppt-2,0
apakah lulus sidang skripsi berarti langsung lulus studi,apakah judul dan abstrak harus sudah final saat pendaftaran awal,0
mengapa kita tidak boleh mengunggah berkas sidang di tanggal terakhir pendaftaran,kenapa kita tidak bisa mengunggah berkas sidang di tanggal terakhir pendaftaran,1
mengapa kita tidak boleh mengunggah berkas sidang di tanggal terakhir pendaftaran,tolong jelaskan kita tidak mengunggah berkas sidang tanggal terakhir,1
mengapa kita tidak boleh mengunggah berkas sidang di tanggal terakhir pendaftaran,apa saja kelengkapan berkas untuk pengakuan paper conference,0
mengapa kita tidak boleh mengunggah berkas sidang di tanggal terakhir pendaftaran,saya sudah mendaftar tugas akhir semester lalu tetapi belum sidang apakah saya perlu mendaftar lagi di semester ini,0
apa saja berkas yang harus diunggah di halaman persiapan kelulusan doffice untuk verifikasi di tingkat departemen,apa aja berkas yang harus diunggah di halaman persiapan kelulusan doffice untuk verifikasi di tingkat departemen,1
apa saja berkas yang harus diunggah di halaman persiapan kelulusan doffice untuk verifikasi di tingkat departemen,mohon info saja berkas diunggah halaman persiapan kelulusan doffice,1
apa saja berkas yang harus diunggah di halaman persiapan kelulusan doffice untuk verifikasi di tingkat departemen,berapa minimal sks yang harus telah lulus agar pelaksanaan kp diakui,0
apa saja berkas yang harus diunggah di halaman persiapan kelulusan doffice untuk verifikasi di tingkat departemen,jika saya mengusulkan 3 nama pembimbing apakah pasti salah satunya yang ditetapkan,0
apa yang harus dilakukan jika gagal mengunggah berkas di doffice untuk yudisium,tolong jelaskan dilakukan jika gagal mengunggah berkas doffice yudisium,1
apa yang harus dilakukan jika gagal mengunggah berkas di doffice untuk yudisium,berapa durasi minimal pelaksanaan kp,0
apa yang harus dilakukan jika gagal mengunggah berkas di doffice untuk yudisium,apa perbedaan seminar dan pra-skripsi dalam sistem ini,0
apa saja berkas pendukung yang harus dikumpulkan untuk ppt-1,apa aja berkas pendukung yang harus dikumpulkan untuk ppt-1,1
apa saja berkas pendukung yang harus dikumpulkan untuk ppt-1,saya ingin tahu saja berkas pendukung dikumpulkan ppt-1,1
apa saja berkas pendukung yang harus dikumpulkan untuk ppt-1,kapan saya harus menyampaikan surat pengantar kp ke perusahaan,0
apa saja berkas pendukung yang harus dikumpulkan untuk ppt-1,kapan batas akhir mahasiswa membuat pendaftaran tugas akhir di semester genap 2025 2026,0
berapa jam per minggu dan berapa minggu kegiatan ppt-1 harus dilaksanakan,berapa sih jam per minggu dan berapa sih minggu kegiatan ppt-1 harus dilaksanakan,1
berapa jam per minggu dan berapa minggu kegiatan ppt-1 harus dilaksanakan,tolong jelaskan jam per minggu minggu kegiatan ppt-1 dilaksanakan,1
berapa jam per minggu dan berapa minggu kegiatan ppt-1 harus dilaksanakan,bagaimana cara mendapatkan surat pengantar kp,0
berapa jam per minggu dan berapa minggu kegiatan ppt-1 harus dilaksanakan,apa yang terjadi jika saya mendaftar setelah tanggal 2026-02-08 telat,0
apa nilai minimal untuk pengakuan 1 sertifikat level associate di ppt-2,tolong jelaskan nilai minimal pengakuan 1 sertifikat level associate,1
apa nilai minimal untuk pengakuan 1 sertifikat level associate di ppt-2,apa saja berkas yang harus diunggah saat mendaftar sidang kp di doffice,0
apa nilai minimal untuk pengakuan 1 sertifikat level associate di ppt-2,kapan departemen menetapkan pembimbing selambat-lambatnya,0
jika saya meraih juara 3 kompetisi tingkat nasional nilai apa yang akan saya peroleh untuk ppt-2,tolong jelaskan jika meraih juara 3 kompetisi tingkat nasional,1
jika saya meraih juara 3 kompetisi tingkat nasional nilai apa yang akan saya peroleh untuk ppt-2,kapan batas akhir pendaftaran sidang kp,0
jika saya meraih juara 3 kompetisi tingkat nasional nilai apa yang akan saya peroleh untuk ppt-2,apakah pembimbing yang sudah ditetapkan di halaman ini bersifat final,0
apa saja kelengkapan berkas untuk pengakuan paper conference,apa aja kelengkapan berkas untuk pengakuan paper conference,1
apa saja kelengkapan berkas untuk pengakuan paper conference,mohon info saja kelengkapan berkas pengakuan paper conference,1
apa saja kelengkapan berkas untuk pengakuan paper conference,apakah saya harus mengambil sks kp di irs sebelum sidang,0
apa saja kelengkapan berkas untuk pengakuan paper conference,bagaimana cara memulai pengajuan surat di sistem,0
berapa minimal sks yang harus telah lulus agar pelaksanaan kp diakui,berapa sih minimal sks yang harus telah lulus agar pelaksanaan kp diakui,1
berapa minimal sks yang harus telah lulus agar pelaksanaan kp diakui,tolong jelaskan minimal sks telah lulus agar pelaksanaan kp,1
berapa minimal sks yang harus telah lulus agar pelaksanaan kp diakui,bagaimana supervisor perusahaan mengisi nilai kp,0
berapa minimal sks yang harus telah lulus agar pelaksanaan kp diakui,siapa yang memeriksa pengajuan surat,0
berapa durasi minimal pelaksanaan kp,berapa sih durasi minimal pelaksanaan kp,1
berapa durasi minimal pelaksanaan kp,mohon info durasi minimal pelaksanaan kp,1
berapa durasi minimal pelaksanaan kp,apakah ada revisi laporan pasca sidang kp,0
berapa durasi minimal pelaksanaan kp,berapa lama waktu yang dibutuhkan hingga surat selesai ditandatangani,0
kapan saya harus menyampaikan surat pengantar kp ke perusahaan,jadwal saya harus menyampaikan surat pengantar kp ke perusahaan,1
kapan saya harus menyampaikan surat pengantar kp ke perusahaan,saya ingin tahu menyampaikan surat pengantar kp perusahaan,1
kapan saya harus menyampaikan surat pengantar kp ke perusahaan,kapan sidang kp dilaksanakan,0
kapan saya harus menyampaikan surat pengantar kp ke perusahaan,berapa lama waktu yang dibutuhkan hingga surat jadi dapat diunduh,0
bagaimana cara mendapatkan surat pengantar kp,gimana cara mendapatkan surat pengantar kp,1
bagaimana cara mendapatkan surat pengantar kp,mohon info cara mendapatkan surat pengantar kp,1
bagaimana cara mendapatkan surat pengantar kp,bolehkah sidang kp dilakukan secara online,0
bagaimana cara mendapatkan surat pengantar kp,bagaimana cara mengetahui surat sudah siap diunduh,0
apa saja berkas yang harus diunggah saat mendaftar sidang kp di doffice,apa aja berkas yang harus diunggah saat mendaftar sidang kp di doffice,1
apa saja berkas yang harus diunggah saat mendaftar sidang kp di doffice,saya ingin tahu saja berkas diunggah mendaftar sidang kp doffice,1
apa saja berkas yang harus diunggah saat mendaftar sidang kp di doffice,bagaimana cara mengetahui jadwal sidang kp,0
apa saja berkas yang harus diunggah saat mendaftar sidang kp di doffice,apakah semua jenis surat memerlukan informasi yang sama saat pengajuan,0
kapan batas akhir pendaftaran sidang kp,jadwal batas akhir pendaftaran sidang kp,1
kapan batas akhir pendaftaran sidang kp,saya ingin tahu batas akhir pendaftaran sidang kp,1
kapan batas akhir pendaftaran sidang kp,apa yang harus dilakukan jika email penilaian untuk supervisor masuk ke spam,0
kapan batas akhir pendaftaran sidang kp,apa perbedaan magang wajib magang mandiri dan magang bebas,0
apakah saya harus mengambil sks kp di irs sebelum sidang,apakah benar saya harus mengambil sks kp di irs sebelum sidang,1
apakah saya harus mengambil sks kp di irs sebelum sidang,mohon info mengambil sks kp irs sebelum sidang,1
apakah saya harus mengambil sks kp di irs sebelum sidang,kapan pendaftaran tugas akhir mata kuliah spesial sebaiknya dilakukan,0
apakah saya harus mengambil sks kp di irs sebelum sidang,apakah mahasiswa bisa mengikuti magang mandiri sekaligus mengambil skripsi,0
bagaimana supervisor perusahaan mengisi nilai kp,gimana supervisor perusahaan mengisi nilai kp,1
bagaimana supervisor perusahaan mengisi nilai kp,mohon info supervisor perusahaan mengisi nilai kp,1
bagaimana supervisor perusahaan mengisi nilai kp,apakah judul dan abstrak harus sudah final saat pendaftaran awal,0
bagaimana supervisor perusahaan mengisi nilai kp,apa keuntungan mengikuti magang mandiri pada industri yang sudah bekerjasama dengan dte,0
apakah ada revisi laporan pasca sidang kp,apakah benar ada revisi laporan pasca sidang kp,1
apakah ada revisi laporan pasca sidang kp,tolong jelaskan ada revisi laporan pasca sidang kp,1
apakah ada revisi laporan pasca sidang kp,saya sudah mendaftar tugas akhir semester lalu tetapi belum sidang apakah saya perlu mendaftar lagi di semester ini,0
apakah ada revisi laporan pasca sidang kp,sebutkan minimal 3 mitra industri yang sudah bekerjasama dengan dte beserta jumlah sks yang diakui,0
kapan sidang kp dilaksanakan,jadwal sidang kp dilaksanakan,1
kapan sidang kp dilaksanakan,tolong jelaskan sidang kp dilaksanakan,1
kapan sidang kp dilaksanakan,jika saya mengusulkan 3 nama pembimbing apakah pasti salah satunya yang ditetapkan,0
kapan sidang kp dilaksanakan,apa yang harus dilakukan mahasiswa sebelum mendaftar magang mandiri yang tidak bekerjasama dengan dte misal magang berdampak,0
bolehkah sidang kp dilakukan secara online,saya ingin tahu bolehkah sidang kp dilakukan secara online,1
bolehkah sidang kp dilakukan secara online,apa perbedaan seminar dan pra-skripsi dalam sistem ini,0
bolehkah sidang kp dilakukan secara online,siapa anggota tim tk untuk program studi teknik komputer,0
bagaimana cara mengetahui jadwal sidang kp,gimana cara mengetahui jadwal sidang kp,1
bagaimana cara mengetahui jadwal sidang kp,mohon info cara mengetahui jadwal sidang kp,1
bagaimana cara mengetahui jadwal sidang kp,kapan batas akhir mahasiswa membuat pendaftaran tugas akhir di semester genap 2025 2026,0
bagaimana cara mengetahui jadwal sidang kp,bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,0
apa yang harus dilakukan jika email penilaian untuk supervisor masuk ke spam,tolong jelaskan dilakukan jika email penilaian supervisor masuk spam,1
apa yang harus dilakukan jika email penilaian untuk supervisor masuk ke spam,apa yang terjadi jika saya mendaftar setelah tanggal 2026-02-08 telat,0
apa yang harus dilakukan jika email penilaian untuk supervisor masuk ke spam,apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,0
kapan pendaftaran tugas akhir mata kuliah spesial sebaiknya dilakukan,jadwal pendaftaran tugas akhir mata kuliah spesial sebaiknya dilakukan,1
kapan pendaftaran tugas akhir mata kuliah spesial sebaiknya dilakukan,mohon info pendaftaran tugas akhir mata kuliah spesial sebaiknya,1
kapan pendaftaran tugas akhir mata kuliah spesial sebaiknya dilakukan,kapan departemen menetapkan pembimbing selambat-lambatnya,0
kapan pendaftaran tugas akhir mata kuliah spesial sebaiknya dilakukan,platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,0
apakah judul dan abstrak harus sudah final saat pendaftaran awal,apakah benar judul dan abstrak harus sudah final saat pendaftaran awal,1
apakah judul dan abstrak harus sudah final saat pendaftaran awal,saya ingin tahu judul abstrak final pendaftaran awal,1
apakah judul dan abstrak harus sudah final saat pendaftaran awal,apakah pembimbing yang sudah ditetapkan di halaman ini bersifat final,0
apakah judul dan abstrak harus sudah final saat pendaftaran awal,bukti apa yang diperlukan untuk transfer kredit pembelajaran mandiri,0
saya sudah mendaftar tugas akhir semester lalu tetapi belum sidang apakah saya perlu mendaftar lagi di semester ini,saya sudah mendaftar tugas akhir semester lalu tetapi belum sidang apakah benar saya perlu mendaftar lagi di semester ini,1
saya sudah mendaftar tugas akhir semester lalu tetapi belum sidang apakah saya perlu mendaftar lagi di semester ini,saya ingin tahu mendaftar tugas akhir semester lalu tetapi belum,1
saya sudah mendaftar tugas akhir semester lalu tetapi belum sidang apakah saya perlu mendaftar lagi di semester ini,bagaimana cara memulai pengajuan surat di sistem,0
saya sudah mendaftar tugas akhir semester lalu tetapi belum sidang apakah saya perlu mendaftar lagi di semester ini,kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,0
jika saya mengusulkan 3 nama pembimbing apakah pasti salah satunya yang ditetapkan,jika saya mengusulkan 3 nama pembimbing apakah benar pasti salah satunya yang ditetapkan,1
jika saya mengusulkan 3 nama pembimbing apakah pasti salah satunya yang ditetapkan,tolong jelaskan jika mengusulkan 3 nama pembimbing pasti salah,1
jika saya mengusulkan 3 nama pembimbing apakah pasti salah satunya yang ditetapkan,siapa yang memeriksa pengajuan surat,0
jika saya mengusulkan 3 nama pembimbing apakah pasti salah satunya yang ditetapkan,apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,0
apa perbedaan seminar dan pra-skripsi dalam sistem ini,tolong jelaskan perbedaan seminar pra-skripsi dalam sistem ini,1
apa perbedaan seminar dan pra-skripsi dalam sistem ini,berapa lama waktu yang dibutuhkan hingga surat selesai ditandatangani,0
apa perbedaan seminar dan pra-skripsi dalam sistem ini,apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,0
kapan batas akhir mahasiswa membuat pendaftaran tugas akhir di semester genap 2025 2026,jadwal batas akhir mahasiswa membuat pendaftaran tugas akhir di semester genap 2025 2026,1
kapan batas akhir mahasiswa membuat pendaftaran tugas akhir di semester genap 2025 2026,mohon info batas akhir mahasiswa membuat pendaftaran tugas akhir,1
kapan batas akhir mahasiswa membuat pendaftaran tugas akhir di semester genap 2025 2026,berapa lama waktu yang dibutuhkan hingga surat jadi dapat diunduh,0
kapan batas akhir mahasiswa membuat pendaftaran tugas akhir di semester genap 2025 2026,bagaimana cara mahasiswa mendapatkan informasi terkini tentang magang mandiri dan pembelajaran mandiri,0
apa yang terjadi jika saya mendaftar setelah tanggal 2026-02-08 telat,tolong jelaskan terjadi jika mendaftar setelah tanggal 2026-02-08 telat,1
apa yang terjadi jika saya mendaftar setelah tanggal 2026-02-08 telat,bagaimana cara mengetahui surat sudah siap diunduh,0
apa yang terjadi jika saya mendaftar setelah tanggal 2026-02-08 telat,sebutkan 3 research group di dte ftui beserta ketua research group-nya,0
kapan departemen menetapkan pembimbing selambat-lambatnya,jadwal departemen menetapkan pembimbing selambat-lambatnya,1
kapan departemen menetapkan pembimbing selambat-lambatnya,saya ingin tahu departemen menetapkan pembimbing selambat-lambatnya,1
kapan departemen menetapkan pembimbing selambat-lambatnya,apakah semua jenis surat memerlukan informasi yang sama saat pengajuan,0
kapan departemen menetapkan pembimbing selambat-lambatnya,research group mana yang fokus pada keamanan sistem jaringan dan embedded,0
apakah pembimbing yang sudah ditetapkan di halaman ini bersifat final,apakah benar pembimbing yang sudah ditetapkan di halaman ini bersifat final,1
apakah pembimbing yang sudah ditetapkan di halaman ini bersifat final,saya ingin tahu pembimbing ditetapkan halaman ini bersifat final,1
apakah pembimbing yang sudah ditetapkan di halaman ini bersifat final,apa perbedaan magang wajib magang mandiri dan magang bebas,0
apakah pembimbing yang sudah ditetapkan di halaman ini bersifat final,apa kepanjangan dari synapse-ai dan siapa ketuanya,0
bagaimana cara memulai pengajuan surat di sistem,gimana cara memulai pengajuan surat di sistem,1
bagaimana cara memulai pengajuan surat di sistem,mohon info cara memulai pengajuan surat sistem,1
bagaimana cara memulai pengajuan surat di sistem,apakah mahasiswa bisa mengikuti magang mandiri sekaligus mengambil skripsi,0
bagaimana cara memulai pengajuan surat di sistem,research group mana yang fokus pada motor listrik dan sistem kendali cerdas,0
siapa yang memeriksa pengajuan surat,siapa ya yang memeriksa pengajuan surat,1
siapa yang memeriksa pengajuan surat,tolong jelaskan memeriksa pengajuan surat,1
siapa yang memeriksa pengajuan surat,apa keuntungan mengikuti magang mandiri pada industri yang sudah bekerjasama dengan dte,0
siapa yang memeriksa pengajuan surat,siapa ketua dari research group for energy transition regret,0
berapa lama waktu yang dibutuhkan hingga surat selesai ditandatangani,berapa sih lama waktu yang dibutuhkan hingga surat selesai ditandatangani,1
berapa lama waktu yang dibutuhkan hingga surat selesai ditandatangani,saya ingin tahu lama waktu dibutuhkan hingga surat selesai ditandatangani,1
berapa lama waktu yang dibutuhkan hingga surat selesai ditandatangani,sebutkan minimal 3 mitra industri yang sudah bekerjasama dengan dte beserta jumlah sks yang diakui,0
berapa lama waktu yang dibutuhkan hingga surat selesai ditandatangani,apa alamat lengkap departemen teknik elektro ftui,0
berapa lama waktu yang dibutuhkan hingga surat jadi dapat diunduh,berapa sih lama waktu yang dibutuhkan hingga surat jadi bisa diunduh,1
berapa lama waktu yang dibutuhkan hingga surat jadi dapat diunduh,mohon info lama waktu dibutuhkan hingga surat jadi diunduh,1
berapa lama waktu yang dibutuhkan hingga surat jadi dapat diunduh,apa yang harus dilakukan mahasiswa sebelum mendaftar magang mandiri yang tidak bekerjasama dengan dte misal magang berdampak,0
berapa lama waktu yang dibutuhkan hingga surat jadi dapat diunduh,apa nomor whatsapp resmi dte ftui,0
bagaimana cara mengetahui surat sudah siap diunduh,gimana cara mengetahui surat sudah siap diunduh,1
