sentence1,sentence2,label
bagaimana cara mengetahui surat sudah siap diunduh,tolong jelaskan cara mengetahui surat siap diunduh,1
bagaimana cara mengetahui surat sudah siap diunduh,siapa anggota tim tk untuk program studi teknik komputer,0
bagaimana cara mengetahui surat sudah siap diunduh,jam operasional dte ftui adalah,0
apakah semua jenis surat memerlukan informasi yang sama saat pengajuan,apakah benar semua jenis surat memerlukan informasi yang sama saat pengajuan,1
apakah semua jenis surat memerlukan informasi yang sama saat pengajuan,mohon info semua jenis surat memerlukan informasi sama pengajuan,1
apakah semua jenis surat memerlukan informasi yang sama saat pengajuan,bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,0
apakah semua jenis surat memerlukan informasi yang sama saat pengajuan,apa saja akun media sosial resmi dte ftui sebutkan minimal 3,0
apa perbedaan magang wajib magang mandiri dan magang bebas,mohon info perbedaan magang wajib magang mandiri magang bebas,1
apa perbedaan magang wajib magang mandiri dan magang bebas,apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,0
apa perbedaan magang wajib magang mandiri dan magang bebas,apa akreditasi s1 teknik elektro ftui dan sampai kapan berlaku,0
apakah mahasiswa bisa mengikuti magang mandiri sekaligus mengambil skripsi,apakah benar mahasiswa bisa mengikuti magang mandiri sekaligus mengambil skripsi,1
apakah mahasiswa bisa mengikuti magang mandiri sekaligus mengambil skripsi,mohon info mahasiswa bisa mengikuti magang mandiri sekaligus mengambil,1
apakah mahasiswa bisa mengikuti magang mandiri sekaligus mengambil skripsi,platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,0
apakah mahasiswa bisa mengikuti magang mandiri sekaligus mengambil skripsi,kapan sk akreditasi s2 teknik elektro ftui terbit dan kapan kedaluwarsanya,0
apa keuntungan mengikuti magang mandiri pada industri yang sudah bekerjasama dengan dte,saya ingin tahu keuntungan mengikuti magang mandiri industri bekerjasama dengan,1
apa keuntungan mengikuti magang mandiri pada industri yang sudah bekerjasama dengan dte,bukti apa yang diperlukan untuk transfer kredit pembelajaran mandiri,0
apa keuntungan mengikuti magang mandiri pada industri yang sudah bekerjasama dengan dte,apa akreditasi s3 teknik elektro ftui,0
sebutkan minimal 3 mitra industri yang sudah bekerjasama dengan dte beserta jumlah sks yang diakui,tolong jelaskan sebutkan minimal 3 mitra industri bekerjasama dengan,1
sebutkan minimal 3 mitra industri yang sudah bekerjasama dengan dte beserta jumlah sks yang diakui,kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,0
sebutkan minimal 3 mitra industri yang sudah bekerjasama dengan dte beserta jumlah sks yang diakui,apa akreditasi s1 teknik komputer ftui dan lembaga mana yang mengakreditasi,0
apa yang harus dilakukan mahasiswa sebelum mendaftar magang mandiri yang tidak bekerjasama dengan dte misal magang berdampak,tolong jelaskan dilakukan mahasiswa sebelum mendaftar magang mandiri tidak,1
apa yang harus dilakukan mahasiswa sebelum mendaftar magang mandiri yang tidak bekerjasama dengan dte misal magang berdampak,apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,0
apa yang harus dilakukan mahasiswa sebelum mendaftar magang mandiri yang tidak bekerjasama dengan dte misal magang berdampak,apakah s1 teknik biomedik ftui memiliki akreditasi iabee,0
siapa anggota tim tk untuk program studi teknik komputer,siapa ya anggota tim tk untuk program studi teknik komputer,1
siapa anggota tim tk untuk program studi teknik komputer,mohon info anggota tim tk program studi teknik komputer,1
siapa anggota tim tk untuk program studi teknik komputer,apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,0
siapa anggota tim tk untuk program studi teknik komputer,apa nomor telepon dan fax dte ftui,0
bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,gimana rumus menghitung maksimum sks yang bisa ditransferkreditkan dari magang mandiri,1
bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,tolong jelaskan rumus menghitung maksimum sks ditransferkreditkan magang mandiri,1
bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,bagaimana cara mahasiswa mendapatkan informasi terkini tentang magang mandiri dan pembelajaran mandiri,0
bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,bagaimana prosedur pengajuan permohonan izin penelitian dan pengambilan data ke ftui,0
apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,apakah benar bisa mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,1
apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,tolong jelaskan mentransferkreditkan kursus online isinya sama dengan mata,1
apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,sebutkan 3 research group di dte ftui beserta ketua research group-nya,0
apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,apakah masih ada kelas ekstensi paralel jalur d3 di ftui,0
platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,platform pembelajaran online apa aja yang saat ini diakui dte untuk pembelajaran mandiri,1
platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,saya ingin tahu platform pembelajaran online saja ini diakui dte,1
platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,research group mana yang fokus pada keamanan sistem jaringan dan embedded,0
platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,apakah pasti diterima sebagai mahasiswa ui jika dinyatakan lulus pada salah satu jalur masuk,0
bukti apa yang diperlukan untuk transfer kredit pembelajaran mandiri,mohon info bukti diperlukan transfer kredit pembelajaran mandiri,1
bukti apa yang diperlukan untuk transfer kredit pembelajaran mandiri,apa kepanjangan dari synapse-ai dan siapa ketuanya,0
bukti apa yang diperlukan untuk transfer kredit pembelajaran mandiri,apakah bisa siswa jurusan ipa mengambil prodi jurusan ips,0
kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,jadwal proses pengajuan transfer kredit magang mandiri harus dilaksanakan,1
kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,saya ingin tahu proses pengajuan transfer kredit magang mandiri dilaksanakan,1
kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,research group mana yang fokus pada motor listrik dan sistem kendali cerdas,0
kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,apakah bisa siswa jurusan ips mengambil prodi jurusan ipa,0
apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,apa aja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,1
apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,saya ingin tahu saja dokumen dikirimkan transfer kredit magang mandiri,1
apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,siapa ketua dari research group for energy transition regret,0
apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,sekolah dengan kurikulum internasional apakah bisa mendaftar pdss,0
apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,apakah benar magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,1
apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,tolong jelaskan magang mandiri ditransferkreditkan menjadi magang wajib tetap,1
apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,apa alamat lengkap departemen teknik elektro ftui,0
apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,apakah di ui tersedia beasiswa,0
bagaimana cara mahasiswa mendapatkan informasi terkini tentang magang mandiri dan pembelajaran mandiri,gimana cara mahasiswa mendapatkan informasi terkini tentang magang mandiri dan pembelajaran mandiri,1
bagaimana cara mahasiswa mendapatkan informasi terkini tentang magang mandiri dan pembelajaran mandiri,mohon info cara mahasiswa mendapatkan informasi terkini tentang magang,1
bagaimana cara mahasiswa mendapatkan informasi terkini tentang magang mandiri dan pembelajaran mandiri,apa nomor whatsapp resmi dte ftui,0
bagaimana cara mahasiswa mendapatkan informasi terkini tentang magang mandiri dan pembelajaran mandiri,apakah benar biaya masuk ui mahal,0
sebutkan 3 research group di dte ftui beserta ketua research group-nya,saya ingin tahu sebutkan 3 research group dte ftui beserta,1
sebutkan 3 research group di dte ftui beserta ketua research group-nya,jam operasional dte ftui adalah,0
sebutkan 3 research group di dte ftui beserta ketua research group-nya,berapa tahun masa studi s1,0
research group mana yang fokus pada keamanan sistem jaringan dan embedded,mohon info research group mana fokus keamanan sistem jaringan,1
research group mana yang fokus pada keamanan sistem jaringan dan embedded,apa saja akun media sosial resmi dte ftui sebutkan minimal 3,0
research group mana yang fokus pada keamanan sistem jaringan dan embedded,apa perbedaan teknik komputer dan ilmu komputer,0
apa kepanjangan dari synapse-ai dan siapa ketuanya,apa kepanjangan dari synapse-ai dan siapa ya ketuanya,1
apa kepanjangan dari synapse-ai dan siapa ketuanya,tolong jelaskan kepanjangan synapse-ai ketuanya,1
apa kepanjangan dari synapse-ai dan siapa ketuanya,apa akreditasi s1 teknik elektro ftui dan sampai kapan berlaku,0
apa kepanjangan dari synapse-ai dan siapa ketuanya,ui masuk wilayah manakah untuk snbp,0
research group mana yang fokus pada motor listrik dan sistem kendali cerdas,tolong jelaskan research group mana fokus motor listrik sistem,1
research group mana yang fokus pada motor listrik dan sistem kendali cerdas,kapan sk akreditasi s2 teknik elektro ftui terbit dan kapan kedaluwarsanya,0
research group mana yang fokus pada motor listrik dan sistem kendali cerdas,berapa skor minimal simak ui untuk dapat lulus seleksi masuk ui,0
siapa ketua dari research group for energy transition regret,siapa ya ketua dari research group for energy transition regret,1
siapa ketua dari research group for energy transition regret,tolong jelaskan ketua research group for energy transition regret,1
siapa ketua dari research group for energy transition regret,apa akreditasi s3 teknik elektro ftui,0
siapa ketua dari research group for energy transition regret,apa saja mata pelajaran pendukung prodi di ftui,0
apa alamat lengkap departemen teknik elektro ftui,saya ingin tahu alamat lengkap departemen teknik elektro ftui,1
apa alamat lengkap departemen teknik elektro ftui,apa akreditasi s1 teknik komputer ftui dan lembaga mana yang mengakreditasi,0
apa alamat lengkap departemen teknik elektro ftui,apa saja program studi yang ada di dte,0
apa nomor whatsapp resmi dte ftui,mohon info nomor whatsapp resmi dte ftui,1
apa nomor whatsapp resmi dte ftui,apakah s1 teknik biomedik ftui memiliki akreditasi iabee,0
apa nomor whatsapp resmi dte ftui,apa itu teknik elektro,0
jam operasional dte ftui adalah,saya ingin tahu jam operasional dte ftui,1
jam operasional dte ftui adalah,apa nomor telepon dan fax dte ftui,0
jam operasional dte ftui adalah,apa itu teknik komputer,0
apa saja akun media sosial resmi dte ftui sebutkan minimal 3,apa aja akun media sosial resmi dte ftui sebutkan minimal 3,1
apa saja akun media sosial resmi dte ftui sebutkan minimal 3,tolong jelaskan saja akun media sosial resmi dte ftui,1
apa saja akun media sosial resmi dte ftui sebutkan minimal 3,bagaimana prosedur pengajuan permohonan izin penelitian dan pengambilan data ke ftui,0
apa saja akun media sosial resmi dte ftui sebutkan minimal 3,apa itu teknik biomedik,0
apa akreditasi s1 teknik elektro ftui dan sampai kapan berlaku,apa akreditasi s1 teknik elektro ftui dan sampai jadwal berlaku,1
apa akreditasi s1 teknik elektro ftui dan sampai kapan berlaku,saya ingin tahu akreditasi s1 teknik elektro ftui sampai berlaku,1
apa akreditasi s1 teknik elektro ftui dan sampai kapan berlaku,apakah masih ada kelas ekstensi paralel jalur d3 di ftui,0
apa akreditasi s1 teknik elektro ftui dan sampai kapan berlaku,apa saja yang dinilai oleh supervisor perusahaan dan dosen penguji dalam sidang kp,0
kapan sk akreditasi s2 teknik elektro ftui terbit dan kapan kedaluwarsanya,jadwal sk akreditasi s2 teknik elektro ftui terbit dan jadwal kedaluwarsanya,1
kapan sk akreditasi s2 teknik elektro ftui terbit dan kapan kedaluwarsanya,tolong jelaskan sk akreditasi s2 teknik elektro ftui terbit,1
kapan sk akreditasi s2 teknik elektro ftui terbit dan kapan kedaluwarsanya,apakah pasti diterima sebagai mahasiswa ui jika dinyatakan lulus pada salah satu jalur masuk,0
kapan sk akreditasi s2 teknik elektro ftui terbit dan kapan kedaluwarsanya,bagaimana aturan berpakaian saat sidang kp,0
apa akreditasi s3 teknik elektro ftui,saya ingin tahu akreditasi s3 teknik elektro ftui,1
apa akreditasi s3 teknik elektro ftui,apakah bisa siswa jurusan ipa mengambil prodi jurusan ips,0
apa akreditasi s3 teknik elektro ftui,apakah selama sidang kp saya boleh bertanya ke teman lewat chat,0
apa akreditasi s1 teknik komputer ftui dan lembaga mana yang mengakreditasi,mohon info akreditasi s1 teknik komputer ftui lembaga mana,1
apa akreditasi s1 teknik komputer ftui dan lembaga mana yang mengakreditasi,apakah bisa siswa jurusan ips mengambil prodi jurusan ipa,0
apa akreditasi s1 teknik komputer ftui dan lembaga mana yang mengakreditasi,saya sudah pernah mengambil seminar semester lalu tapi belum lulus apakah saya perlu mendaftar ulang di semester ini,0
apakah s1 teknik biomedik ftui memiliki akreditasi iabee,apakah benar s1 teknik biomedik ftui memiliki akreditasi iabee,1
apakah s1 teknik biomedik ftui memiliki akreditasi iabee,tolong jelaskan s1 teknik biomedik ftui memiliki akreditasi iabee,1
apakah s1 teknik biomedik ftui memiliki akreditasi iabee,sekolah dengan kurikulum internasional apakah bisa mendaftar pdss,0
apakah s1 teknik biomedik ftui memiliki akreditasi iabee,berapa minimal entry bimbingan di doffice untuk bisa sidang seminar,0
apa nomor telepon dan fax dte ftui,mohon info nomor telepon fax dte ftui,1
apa nomor telepon dan fax dte ftui,apakah di ui tersedia beasiswa,0
apa nomor telepon dan fax dte ftui,apakah sidang seminar melibatkan dosen penguji selain pembimbing,0
bagaimana prosedur pengajuan permohonan izin penelitian dan pengambilan data ke ftui,gimana prosedur pengajuan permohonan izin penelitian dan pengambilan data ke ftui,1
bagaimana prosedur pengajuan permohonan izin penelitian dan pengambilan data ke ftui,mohon info prosedur pengajuan permohonan izin penelitian pengambilan data,1
bagaimana prosedur pengajuan permohonan izin penelitian dan pengambilan data ke ftui,apakah benar biaya masuk ui mahal,0
bagaimana prosedur pengajuan permohonan izin penelitian dan pengambilan data ke ftui,setelah sidang skripsi bagaimana cara mendapatkan catatan revisi,0
apakah masih ada kelas ekstensi paralel jalur d3 di ftui,apakah benar masih ada kelas ekstensi paralel jalur d3 di ftui,1
apakah masih ada kelas ekstensi paralel jalur d3 di ftui,mohon info masih ada kelas ekstensi paralel jalur d3,1
apakah masih ada kelas ekstensi paralel jalur d3 di ftui,berapa tahun masa studi s1,0
apakah masih ada kelas ekstensi paralel jalur d3 di ftui,apakah lulus sidang skripsi berarti langsung lulus studi,0
apakah pasti diterima sebagai mahasiswa ui jika dinyatakan lulus pada salah satu jalur masuk,apakah benar pasti diterima sebagai mahasiswa ui jika dinyatakan lulus pada salah satu jalur masuk,1
apakah pasti diterima sebagai mahasiswa ui jika dinyatakan lulus pada salah satu jalur masuk,saya ingin tahu pasti diterima sebagai mahasiswa ui jika dinyatakan,1
apakah pasti diterima sebagai mahasiswa ui jika dinyatakan lulus pada salah satu jalur masuk,apa perbedaan teknik komputer dan ilmu komputer,0
apakah pasti diterima sebagai mahasiswa ui jika dinyatakan lulus pada salah satu jalur masuk,mengapa kita tidak boleh mengunggah berkas sidang di tanggal terakhir pendaftaran,0
apakah bisa siswa jurusan ipa mengambil prodi jurusan ips,apakah benar bisa siswa jurusan ipa mengambil prodi jurusan ips,1
apakah bisa siswa jurusan ipa mengambil prodi jurusan ips,tolong jelaskan bisa siswa jurusan ipa mengambil prodi jurusan,1
apakah bisa siswa jurusan ipa mengambil prodi jurusan ips,ui masuk wilayah manakah untuk snbp,0
apakah bisa siswa jurusan ipa mengambil prodi jurusan ips,apa saja berkas yang harus diunggah di halaman persiapan kelulusan doffice untuk verifikasi di tingkat departemen,0
apakah bisa siswa jurusan ips mengambil prodi jurusan ipa,apakah benar bisa siswa jurusan ips mengambil prodi jurusan ipa,1
apakah bisa siswa jurusan ips mengambil prodi jurusan ipa,tolong jelaskan bisa siswa jurusan ips mengambil prodi jurusan,1
apakah bisa siswa jurusan ips mengambil prodi jurusan ipa,berapa skor minimal simak ui untuk dapat lulus seleksi masuk ui,0
apakah bisa siswa jurusan ips mengambil prodi jurusan ipa,apa yang harus dilakukan jika gagal mengunggah berkas di doffice untuk yudisium,0
sekolah dengan kurikulum internasional apakah bisa mendaftar pdss,sekolah dengan kurikulum internasional apakah benar bisa mendaftar pdss,1
sekolah dengan kurikulum internasional apakah bisa mendaftar pdss,tolong jelaskan sekolah dengan kurikulum internasional bisa mendaftar pdss,1
sekolah dengan kurikulum internasional apakah bisa mendaftar pdss,apa saja mata pelajaran pendukung prodi di ftui,0
sekolah dengan kurikulum internasional apakah bisa mendaftar pdss,apa saja berkas pendukung yang harus dikumpulkan untuk ppt-1,0
apakah di ui tersedia beasiswa,apakah benar di ui tersedia beasiswa,1
apakah di ui tersedia beasiswa,mohon info ui tersedia beasiswa,1
apakah di ui tersedia beasiswa,apa saja program studi yang ada di dte,0
apakah di ui tersedia beasiswa,berapa jam per minggu dan berapa minggu kegiatan ppt-1 harus dilaksanakan,0
apakah benar biaya masuk ui mahal,apakah benar benar biaya masuk ui mahal,1
apakah benar biaya masuk ui mahal,mohon info benar biaya masuk ui mahal,1
apakah benar biaya masuk ui mahal,apa itu teknik elektro,0
apakah benar biaya masuk ui mahal,apa nilai minimal untuk pengakuan 1 sertifikat level associate di ppt-2,0
berapa tahun masa studi s1,berapa sih tahun masa studi s1,1
berapa tahun masa studi s1,tolong jelaskan tahun masa studi s1,1
berapa tahun masa studi s1,apa itu teknik komputer,0
berapa tahun masa studi s1,jika saya meraih juara 3 kompetisi tingkat nasional nilai apa yang akan saya peroleh untuk ppt-2,0
apa perbedaan teknik komputer dan ilmu komputer,saya ingin tahu perbedaan teknik komputer ilmu komputer,1
apa perbedaan teknik komputer dan ilmu komputer,apa itu teknik biomedik,0
apa perbedaan teknik komputer dan ilmu komputer,apa saja kelengkapan berkas untuk pengakuan paper conference,0
ui masuk wilayah manakah untuk snbp,mohon info ui masuk wilayah manakah snbp,1
ui masuk wilayah manakah untuk snbp,apa saja yang dinilai oleh supervisor perusahaan dan dosen penguji dalam sidang kp,0
ui masuk wilayah manakah untuk snbp,berapa minimal sks yang harus telah lulus agar pelaksanaan kp diakui,0
berapa skor minimal simak ui untuk dapat lulus seleksi masuk ui,berapa sih skor minimal simak ui untuk bisa lulus seleksi masuk ui,1
berapa skor minimal simak ui untuk dapat lulus seleksi masuk ui,mohon info skor minimal simak ui lulus seleksi masuk,1
berapa skor minimal simak ui untuk dapat lulus seleksi masuk ui,bagaimana aturan berpakaian saat sidang kp,0
berapa skor minimal simak ui untuk dapat lulus seleksi masuk ui,berapa durasi minimal pelaksanaan kp,0
apa saja mata pelajaran pendukung prodi di ftui,apa aja mata pelajaran pendukung prodi di ftui,1
apa saja mata pelajaran pendukung prodi di ftui,tolong jelaskan saja mata pelajaran pendukung prodi ftui,1
apa saja mata pelajaran pendukung prodi di ftui,apakah selama sidang kp saya boleh bertanya ke teman lewat chat,0
apa saja mata pelajaran pendukung prodi di ftui,kapan saya harus menyampaikan surat pengantar kp ke perusahaan,0
apa saja program studi yang ada di dte,apa aja program studi yang ada di dte,1
apa saja program studi yang ada di dte,mohon info saja program studi ada dte,1
apa saja program studi yang ada di dte,saya sudah pernah mengambil seminar semester lalu tapi belum lulus apakah saya perlu mendaftar ulang di semester ini,0
apa saja program studi yang ada di dte,bagaimana cara mendapatkan surat pengantar kp,0
apa itu teknik elektro,saya ingin tahu itu teknik elektro,1
apa itu teknik elektro,berapa minimal entry bimbingan di doffice untuk bisa sidang seminar,0
apa itu teknik elektro,apa saja berkas yang harus diunggah saat mendaftar sidang kp di doffice,0
apa itu teknik komputer,tolong jelaskan itu teknik komputer,1
apa itu teknik komputer,apakah sidang seminar melibatkan dosen penguji selain pembimbing,0
apa itu teknik komputer,kapan batas akhir pendaftaran sidang kp,0
apa itu teknik biomedik,tolong jelaskan itu teknik biomedik,1
apa itu teknik biomedik,setelah sidang skripsi bagaimana cara mendapatkan catatan revisi,0
apa itu teknik biomedik,apakah saya harus mengambil sks kp di irs sebelum sidang,0
